도서명	저자	출판사	출판일	가격
LLM을 활용한 실전 AI 애플리케이션 개발	허정준, 정진호, 박재호	책만	2024년 07월	28,800
마인크래프트 몹 완벽 가이드	Mojang Studio, 이주안	영진닷컴	2024년 04월	16,200
된다! 김메주의 유튜브 채널&영상 만들기	김혜주	이지스퍼블리싱	2024년 04월	17,100
마인크래프트 미니게임 만들기	우마공 운영진	영진닷컴	2024년 02월	15,120
된다! 7일 실무 한글	한정희	이지스퍼블리싱	2023년 10월	16,200
그림으로 이해하는 네트워크 구조와 기술	나카오 신지, 김성훈	길벗	2023년 07월	19,800
프로덕트 매니지먼트	김영욱	한빛미디어	2023년 06월	20,700
포켓몬스터 레츠고! 피카츄ㆍ레츠고! 이브이 속성클리어모험가이드		학산문화사(단행본)	2022년 11월	10,800
실용주의 프로그래머	데이비드 토머스, 앤드류 헌트, 정지용, 김창준	인사이트(insight)	2022년 02월	29,700
Real MySQL 8.0 (1권)	백은빈, 이성욱	위키북스	2021년 09월	27,000
함께 자라기	김창준	인사이트(insight)	2018년 11월	11,700
모두의 파이썬	이승찬	길벗	2018년 10월	10,800
친절한 SQL 튜닝	조시형	디비안(DBian)	2018년 06월	34,200
도널드 노먼의 디자인 심리학	도널드 노먼, 범어디자인연구소	유엑스리뷰	2018년 04월	31,500
Do it! 오토캐드 2027 + AI	박한울	이지스퍼블리싱	2026년 06월	27,900
게임으로 철학하기	주자안, 정세경	현암사	2026년 05월	20,700
일 잘하는 직장인	일머리스쿨 (송경이,  유진희)	이지스퍼블리싱	2025년 11월	16,200
